Time,Tag,Code,Log
1679554799,GNSS,0,"$GNRMC,065916.000,A,2649.291507,N,07551.397253,E,0.00,40.60,230323,,,D,V*3D"
1679554804,GNSS,0,
1679554809,GNSS,0,
1679554814,GNSS,0,"$GNRMC,065932.000,A,2649.291225,N,07"
1679554819,GNSS,0,
1679554824,GNSS,0,
1679554829,GNSS,0,
1679554834,GNSS,0,"$GNRMC,065948.000,A,2649.290106,N,07551.399440,E,0.00,175.32,230323,,,D,V*08"
1679554839,GNSS,0,
1679554844,GNSS,0,
1679554849,GNSS,0,"$GNRMC,070004.000,A,2649.290429,N,07551.400252,E,0.00,336.25,230323,,,D,V*04"
1679554854,GNSS,0,
1679554859,GNSS,0,"$GNRMC,070019.000,A,2649.290429,N,07551.400252,E,0.00,245.36,230323,,,D,V*0F"
1679554864,GNSS,0,
1679554869,GNSS,0,"$GNRMC,070020.000,A,2649.290429,N,07551.400252,E,0.00,245.36,23032"
1679554874,GNSS,0,"$GNRMC,070035.000,A,2649.290564,N,07551.399356,E,0.00,236.24,230323,,,D,V*0C"
1679554879,GNSS,0,
1679554884,GNSS,0,
1679554889,GNSS,0,"$GNRMC,070051.000,A,2649.290365,N,07551.400029,E,0.00"
1679554894,GNSS,0,
1679554899,GNSS,0,
1679554904,GNSS,0,
1679554909,GNSS,0,"$GNRMC,070107.000,A,2649.290215,N,07551.399892,E,0.00,187.50,230323,,,D,V*04"
1679554914,GNSS,0,
1679554919,GNSS,0,
1679554924,GNSS,0,"$GNRMC,070123.000,A,2649.289232,N,07551.398651,E,0.00,199.05,230323,,,D,V*00"
1679554929,GNSS,0,
1679554934,GNSS,0,
1679554939,GNSS,0,"$GNRMC,070139.000,A,2649.289578,N,07551.398214,E,0.00,199.05,230323,,,D,V*07"
1679554944,GNSS,0,
1679554949,GNSS,0,"$GNRMC,070"
1679554954,GNSS,0,"$GNRMC,070155.000,A,2649.290112,N,07551.401184,E,0.00,199.05,230323,,,D,V*00"
1679554959,GNSS,0,
1679554964,GNSS,0,"$GNRMC,070156.000,"
1679554969,GNSS,0,"$GNRMC,070211.000,A,2649.290501,N,07551.401407,E,0.00,288.27,230323,,,D,V*08"
1679554974,GNSS,0,
1679554979,GNSS,0,
1679554984,GNSS,0,"$GNRMC,0702"
1679554989,GNSS,0,
1679554994,GNSS,0,
1679554999,GNSS,0,
1679555004,GNSS,0,"$GNRMC,070243.000,A,2649.289467,N,07551.397478,E,0.00,282.78,230323,,,D,V*06"
1679555009,GNSS,0,
1679555014,GNSS,0,
1679555019,GNSS,0,"$GNRMC,070259.000,A,2649.2906"
1679555024,GNSS,0,
1679555029,GNSS,0,
1679555034,GNSS,0,
1679555039,GNSS,0,"$GNRMC,070315.000,A,2649.291488,N,07551.394706,E,0.00,11.87,230323,,,D,V*3D"
1679555044,GNSS,0,
1679555049,GNSS,0,
1679555054,GNSS,0,"$GNRMC,070331.000,A,2649.291488,N,07551.394706,E,0.00,11.87,230323,,,D,V*3B"
1679555059,GNSS,0,
1679555064,GNSS,0,
1679555069,GNSS,0,"$GNRMC,070347.000,A,2649.291376,N,07551.399155,E,0.00,321.30,230323,,,D,V*0D"
1679555074,GNSS,0,
1679555079,GNSS,0,
1679555084,GNSS,0,"$GNRMC,070403.000,A,2649.291376,N,07551.399155,E,0.00,321.30,230323,,,D,V*0A"
1679555089,GNSS,0,
